Plot,Year,Rep,Side,Seeds_placed,Seeds_removed,Seeds_remaining,Date
Drayton,2016,1,South,5,5,0,10-Feb-16
AVA,2016,1,East,5,4,1,11-Feb-16
Pearson,2016,1,West,5,0,5,13-Feb-16
Zetek,2016,1,West,5,3,2,15-Feb-16
25Ha,2016,1,East,5,5,0,17-Feb-16
Drayton,2016,2,North,5,1,4,21-Feb-16
AVA,2016,2,North,5,0,5,25-Feb-16
Pearson,2016,2,North,5,1,4,27-Feb-16
Zetek,2016,2,East,5,5,0,4-Mar-16
25Ha,2016,2,South,5,5,0,5-Mar-16
Drayton,2015,1,North,5,5,0,4-Mar-15
AVA,2015,1,South,5,5,0,6-Mar-15
Zetek,2015,1,South,5,2,3,7-Mar-15
Pearson,2015,1,East,5,0,5,9-Mar-15
25Ha,2015,1,North,5,1,4,11-Mar-15
Drayton,2015,2,East,5,5,0,12-Mar-15
AVA,2015,2,North,5,5,0,16-Mar-15
Zetek,2015,2,West,5,1,4,19-Mar-15
Pearson,2015,2,South,5,0,5,21-Mar-15
25Ha,2015,2,South,5,1,4,22-Mar-15
Drayton,2015,3,South,5,5,0,23-Mar-15
AVA,2015,3,East,5,5,0,24-Mar-15
Zetek,2015,3,North,5,5,0,26-Mar-15
25Ha,2015,3,South,5,4,1,28-Mar-15
Pearson,2015,3,North,5,0,5,30-Mar-15
25Ha,2013,1,,10,1,9,3-Mar-13
AVA,2013,1,,10,10,0,27-Mar-13
Drayton,2013,1,,10,0,10,5-Apr-13
Pearson,2013,1,,10,0,10,30-Mar-13
Zetek,2013,1,,10,1,9,9-Apr-13
25Ha,2013,2,,10,4,6,15-Apr-13
AVA,2013,2,,10,2,8,11-Apr-13
Drayton,2013,2,,10,8,2,18-Apr-13
Pearson,2013,2,,10,2,8,13-Apr-13
Zetek,2013,2,,10,3,7,23-Apr-13
